Gender,Year,Number
Female,2011,53829
Female,2012,57880
Female,2013,59532
Female,2014,60767
Female,2015,61017
Female,2016,61047
Female,2017,59028
Female,2018,53698
Female,2019,53103
Female_Internal,2011,31547
Female_Internal,2012,27815
Female_Internal,2013,32998
Female_Internal,2014,34732
Female_Internal,2015,32924
Female_Internal,2016,34391
Female_Internal,2017,32133
Female_Internal,2018,26746
Female_Internal,2019,29755
Female_Overseas,2011,22282
Female_Overseas,2012,30065
Female_Overseas,2013,26534
Female_Overseas,2014,26035
Female_Overseas,2015,28093
Female_Overseas,2016,26656
Female_Overseas,2017,26895
Female_Overseas,2018,26952
Female_Overseas,2019,23348
Male,2011,59889
Male,2012,67868
Male,2013,69392
Male,2014,67621
Male,2015,66747
Male,2016,67456
Male,2017,64509
Male,2018,57384
Male,2019,56584
Male_Internal,2011,35559
Male_Internal,2012,34554
Male_Internal,2013,40366
Male_Internal,2014,40388
Male_Internal,2015,37823
Male_Internal,2016,39707
Male_Internal,2017,36725
Male_Internal,2018,29098
Male_Internal,2019,32596
Male_Overseas,2011,24330
Male_Overseas,2012,33314
Male_Overseas,2013,29026
Male_Overseas,2014,27233
Male_Overseas,2015,28924
Male_Overseas,2016,27749
Male_Overseas,2017,27784
Male_Overseas,2018,28286
Male_Overseas,2019,23988